                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     97,                0.60657,                 0.4124,                 1.0195,                0.95479,                0.80724,                0.88806,                0.75443,                0.60125,                0.37564,                 1.0375,               0.006832,               0.006832,               0.006832
                     98,                 0.6118,                0.41537,                 1.0191,                0.94132,                  0.818,                0.88683,                0.75819,                0.59462,                0.37115,                 1.0306,               0.006799,               0.006799,               0.006799
                     99,                 0.6076,                0.41493,                 1.0173,                 0.9532,                0.80235,                0.88619,                 0.7575,                0.59646,                0.37758,                 1.0322,               0.006766,               0.006766,               0.006766
                    100,                0.60166,                0.40671,                 1.0119,                0.92903,                0.81458,                0.88559,                0.75398,                0.59702,                0.37437,                 1.0358,               0.006733,               0.006733,               0.006733
                    101,                  0.605,                 0.4079,                 1.0125,                 0.9337,                0.81703,                 0.8867,                0.75664,                0.59649,                0.37055,                 1.0325,                 0.0067,                 0.0067,                 0.0067
                    102,                0.60561,                0.40532,                 1.0157,                0.94768,                 0.8152,                0.88881,                0.75646,                0.60048,                0.37018,                 1.0354,               0.006667,               0.006667,               0.006667
                    103,                0.60295,                0.40273,                 1.0135,                0.94859,                0.81249,                0.89034,                0.75989,                0.59575,                0.36723,                 1.0299,               0.006634,               0.006634,               0.006634
                    104,                0.60319,                0.40632,                 1.0123,                0.93755,                0.81409,                0.88805,                 0.7556,                0.59674,                0.36838,                 1.0327,               0.006601,               0.006601,               0.006601
                    105,                0.60055,                0.40577,                 1.0141,                0.94485,                0.81018,                0.89089,                 0.7601,                0.59148,                 0.3686,                 1.0264,               0.006568,               0.006568,               0.006568
                    106,                0.60782,                0.40676,                 1.0128,                0.93517,                0.81164,                0.88752,                0.75717,                0.59814,                0.37349,                 1.0336,               0.006535,               0.006535,               0.006535
